💝恋风专属👉公告,#genre#
💝有问题请联系张智华,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001

💝央视频道👉全网,#genre#
CCTV-1,http://42.227.88.176:9003//hls/1/index.m3u8
CCTV-1,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv1
CCTV-1,http://iptv.887979.xyz/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV-2,http://42.227.88.176:9003//hls/2/index.m3u8
CCTV-2,http://150.158.112.123/公众号~玉玉软件库//mg.php?id=cctv2
CCTV-2,http://iptv.887979.xyz/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV-3,http://42.227.88.176:9003//hls/3/index.m3u8
CCTV-3,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv3
CCTV-3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV-4,http://42.227.88.176:9003//hls/4/index.m3u8
CCTV-4,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv4
CCTV-4,http://iptv.887979.xyz/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV-5,http://42.227.88.176:9003//hls/5/index.m3u8
CCTV-5,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv5
CCTV-5,http://iptv.887979.xyz/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5+,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv5p
CCTV-5+,http://hms184nc1972679574.live.aikan.miguvideo.com/wh7f454c46tw4035956330_-1197773273/wd_r2/cctv/cctv5plusnew/2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208130700&ContentId=265106763&timezone=UTC&mtv_session=b1d7170ccd660150baa2e9435d787064&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=dfe2cfbc447ddc224a226f33be3d0f39
CCTV-5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV-6,http://42.227.88.176:9003//hls/6/index.m3u8
CCTV-6,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv6
CCTV-6,http://hms424nc1972679598.live.aikan.miguvideo.com/wh7f454c46tw2025729208_-189538202/wd_r2/ocn/cctv6hd/3000/01.m3u8?msisdn=19115966146&Channel_ID=0119_04102000-99000_400300000040002&client_ip=182.149.232.3&timestamp=20230115084415&ContentId=265667482&timezone=UTC&mtv_session=0ac4193cdf07336c58fe3cdb4aac34a4&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=158f70fd4d75270c1810f0c735e78e18
CCTV-7,http://42.227.88.176:9003//hls/7/index.m3u8
CCTV-7,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv7
CCTV-7,http://hms284nc1972679584.live.aikan.miguvideo.com/wh7f454c46tw4211155753_-1040212167/migu/kailu/20200324/cctv7hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208130955&ContentId=265667268&timezone=UTC&mtv_session=f4a3cbeaf77fa614aed3843cb206bc06&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=38b55b6566aab32075f6169e2d955603
CCTV-8,http://42.227.88.176:9003//hls/8/index.m3u8
CCTV-8,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv8
CCTV-8,http://150.158.112.123/公众号~玉玉软件库//mg.php?id=cctv8
CCTV-9,http://42.227.88.176:9003//hls/9/index.m3u8
CCTV-9,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv9
CCTV-9,http://hms444nc1972679601.live.aikan.miguvideo.com/wh7f454c46tw4260577431_-1084507862/migu/kailu/20200324/cctv9hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208131044&ContentId=265667202&timezone=UTC&mtv_session=9444a4df4cb7524a1ec85c4d44200abc&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=efdbccd2a72ff1ba2eabbf08f475f7c6
CCTV-10,http://42.227.88.176:9003//hls/10/index.m3u8
CCTV-10,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv10
CCTV-10,http://iptv.887979.xyz/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-11,http://42.227.88.176:9003//hls/11/index.m3u8
CCTV-11,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv11
CCTV-11,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV-12,http://42.227.88.176:9003//hls/12/index.m3u8
CCTV-12,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv12
CCTV-12,http://hms204nc1972679577.live.aikan.miguvideo.com/wh7f454c46tw1174495643_-1245391177/migu/kailu/20200324/cctv12hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=59.49.185.88&timestamp=20230311020243&ContentId=265667607&timezone=UTC&mtv_session=7581c6271c0379b8ca8b268ff7804765&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=3906a8574a42ff13aba3e255be4cd8e3
CCTV-13,http://42.227.88.176:9003//hls/13/index.m3u8
CCTV-13,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv13
CCTV-13,http://150.158.112.123/公众号~玉玉软件库//mg.php?id=cctv13
CCTV-14,http://42.227.88.176:9003//hls/14/index.m3u8
CCTV-14,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv14
CCTV-14,http://hms344nc1972679590.live.aikan.miguvideo.com/wh7f454c46tw1297666621_-728046298/wd_r2/ocn/cctv14hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=59.49.185.88&timestamp=20230311020446&ContentId=265667325&timezone=UTC&mtv_session=ad6cfd6b6dabe31801ca54a4c87f1bac&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=2757ab80a8dee98edfcfd1ee767a17b8
CCTV-15,http://42.227.88.176:9003//hls/15/index.m3u8
CCTV-15,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv15
CCTV-15,http://hms504nc1972679606.live.aikan.miguvideo.com/wh7f454c46tw1387986390_1468621622/migu/kailu/20200324/cctv15hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=59.49.185.88&timestamp=20230311020617&ContentId=265667535&timezone=UTC&mtv_session=e1254803553b7cace3a119612bf266d8&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=7ba98a3a39d853487109bebe5ed31c43
CCTV-16,http://112.102.217.173:9003//hls/29/index.m3u8
CCTV-16,http://m.951688.xyz:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-16,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/1.m3u8
CCTV-17,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=cctv17
CCTV-17,http://150.158.112.123/公众号~玉玉软件库//mg.php?id=cctv17
CCTV-17,http://hms224nc1972679578.live.aikan.miguvideo.com/wh7f454c46tw1594433061_461954091/migu/kailu/20200324/cctv17hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=112.45.97.120&timestamp=20230208133753&ContentId=265667526&timezone=UTC&mtv_session=2ab00b83c917e8ba1b1bb082711b8b77&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=4c04c5308e4761e3cc4b36134b05b864

💝卫视频道👉全网,#genre#
厦门卫视,http://42.227.88.176:9003//hls/62/index.m3u8
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/playlist.m3u8
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/tvzb/live.m3u8
东南卫视,http://42.227.88.176:9003//hls/43/index.m3u8
东南卫视,http://ds.shixd.cn:5957/rtp/239.49.1.45:6000
东方卫视,http://ds.shixd.cn:5957/rtp/239.49.8.140:6000
东方卫视,http://iptv.887979.xyz/itv/6000000001000003639.m3u8?cdn=wasusyt
浙江卫视,http://42.227.88.176:9003//hls/30/index.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江卫视,http://ds.shixd.cn:5957/rtp/239.49.8.139:6000
江苏卫视,http://42.227.88.176:9003//hls/29/index.m3u8
江苏卫视,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=jsws
江苏卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jsws
湖南卫视,http://42.227.88.176:9003//hls/28/index.m3u8
湖南卫视,http://ds.shixd.cn:5957/rtp/239.49.8.142:6000
湖南卫视,http://iptv.887979.xyz/itv/5000000004000006692.m3u8?cdn=bestzb
湖北卫视,http://42.227.88.176:9003//hls/37/index.m3u8
湖北卫视,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=hubws
湖北卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hubws
安徽卫视,http://42.227.88.176:9003//hls/34/index.m3u8
安徽卫视,http://ds.shixd.cn:5957/rtp/239.49.8.204:6000
安徽卫视,http://iptv.887979.xyz/itv/1000000001000030159.m3u8?cdn=ystenlive
北京卫视,http://42.227.88.176:9003//hls/31/index.m3u8
北京卫视,http://ds.shixd.cn:5957/rtp/239.49.8.141:6000
北京卫视,http://iptv.887979.xyz/itv/6000000001000020451.m3u8?cdn=wasusyt
天津卫视,http://42.227.88.176:9003//hls/32/index.m3u8
天津卫视,http://ds.shixd.cn:5957/rtp/239.49.8.148:6000
天津卫视,http://iptv.887979.xyz/itv/5000000004000006827.m3u8?cdn=bestzb
广东卫视,http://42.227.88.176:9003//hls/45/index.m3u8
广东卫视,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=gdws
广东卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=gdws
广西卫视,http://42.227.88.176:9003//hls/46/index.m3u8
广西卫视,http://iptv.887979.xyz/itv/5000000011000031118.m3u8?cdn=bestzb
广西卫视,http://ds.shixd.cn:5957/rtp/239.49.1.40:6000
江西卫视,http://42.227.88.176:9003//hls/36/index.m3u8
江西卫视,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=jxws
江西卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jxws
深圳卫视,http://42.227.88.176:9003//hls/35/index.m3u8
深圳卫视,http://ds.shixd.cn:5957/rtp/239.49.8.145:6000
深圳卫视,http://iptv.887979.xyz/itv/5000000004000007410.m3u8?cdn=bestzb
辽宁卫视,http://42.227.88.176:9003//hls/42/index.m3u8
辽宁卫视,http://iptv.887979.xyz/itv/5000000004000011671.m3u8?cdn=bestzb
辽宁卫视,http://ds.shixd.cn:5957/rtp/239.49.1.35:6000
重庆卫视,http://42.227.88.176:9003//hls/44/index.m3u8
重庆卫视,http://ds.shixd.cn:5957/rtp/239.49.8.149:6000
重庆卫视,http://iptv.887979.xyz/itv/1000000001000001096.m3u8?cdn=ystenlive
贵州卫视,http://42.227.88.176:9003//hls/41/index.m3u8
贵州卫视,http://iptv.887979.xyz/itv/5000000004000025843.m3u8?cdn=bestzb
贵州卫视,http://ds.shixd.cn:5957/rtp/239.49.1.52:6000
山东卫视,http://42.227.88.176:9003//hls/33/index.m3u8
山东卫视,http://ds.shixd.cn:5957/rtp/239.49.8.146:6000
山东卫视,http://iptv.887979.xyz/itv/1000000001000016568.m3u8?cdn=ystenlive
山西卫视,http://42.227.88.176:9003//hls/49/index.m3u8
山西卫视,http://42.227.88.176:9003//hls/49/index.m3u8
山西卫视,http://ds.shixd.cn:5957/rtp/239.49.1.51:6000
海南卫视,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=hinws
海南卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=hinws
海南卫视,http://218.13.170.98:9901/tsfile/live/1020_1.m3u8
吉林卫视,http://42.227.88.176:9003//hls/48/index.m3u8
吉林卫视,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=jlws
吉林卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=jlws
四川卫视,http://42.227.88.176:9003//hls/38/index.m3u8
四川卫视,http://iptv.887979.xyz/itv/5000000004000006119.m3u8?cdn=bestzb
四川卫视,http://ds.shixd.cn:5957/rtp/239.49.1.43:6000
河南卫视,http://42.227.88.176:9003//hls/17/index.m3u8
河南卫视,http://iptv.887979.xyz/itv/5000000011000031119.m3u8?cdn=bestzb
河南卫视,http://ds.shixd.cn:5957/rtp/239.49.1.44:6000
河北卫视,http://42.227.88.176:9003//hls/47/index.m3u8
河北卫视,http://ds.shixd.cn:5957/rtp/239.49.8.188:6000
河北卫视,http://iptv.887979.xyz/itv/5000000006000040016.m3u8?cdn=bestzb
陕西卫视,http://42.227.88.176:9003//hls/50/index.m3u8
陕西卫视,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=sxws
陕西卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=sxws
黑龙江卫视,http://42.227.88.176:9003//hls/39/index.m3u8
黑龙江卫视,http://ds.shixd.cn:5957/rtp/239.49.8.144:6000
黑龙江卫视,http://iptv.887979.xyz/itv/1000000001000001925.m3u8?cdn=ystenlive
青海卫视,http://42.227.88.176:9003//hls/53/index.m3u8
青海卫视,http://139.196.228.200:5678/公众号搞机大师/mg.php?id=qhws
青海卫视,http://150.158.112.123/公众号~玉玉软件库/mg.php?id=qhws
云南卫视,http://42.227.88.176:9003//hls/40/index.m3u8
云南卫视,http://iptv.887979.xyz/itv/5000000011000031120.m3u8?cdn=bestzb
云南卫视,http://ds.shixd.cn:5957/rtp/239.49.1.235:6000
甘肃卫视,http://42.227.88.176:9003//hls/51/index.m3u8
甘肃卫视,http://iptv.887979.xyz/itv/5000000011000031121.m3u8?cdn=bestzb
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8
内蒙古卫视,http://42.227.88.176:9003//hls/54/index.m3u8
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=35f2dd39972cede5222c6bd2c0efe24b&txTime=77395680
新疆卫视,http://42.227.88.176:9003//hls/56/index.m3u8
西藏卫视,http://42.227.88.176:9003//hls/55/index.m3u8
兵团卫视,http://42.227.88.176:9003//hls/63/index.m3u8

💝浙江地方频道👉全网,#genre#
浙江卫视,http://ds.shixd.cn:5957/rtp/239.49.8.139:6000
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
绍兴公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8?zzhed
绍兴公共频道,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8?zzhed
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8
绍兴文化影视频道,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8?zzhed
绍兴文化影视频道,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
上虞文化影视,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8
上虞文化影视,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8?zzhed
上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8?zzhed
上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8?zzhed
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8?zzhed
嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
嵊州新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8?zzhed
新昌新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXxinchang1/720p.m3u8
新昌生活频道,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
萧山综合频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
萧山综合频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8?zzhed
萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
萧山生活频道,http://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8?zzhed
余杭新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8
余杭未来频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8
临平新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXyuhang2/720p.m3u8
象山电视台新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXxiangshan1/720p.m3u8
余姚新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8
